category,adjective
soft,นุ่มนิ่ม
soft,อ้วนกลม
soft,ปุกปุย
soft,ขนฟู
soft,มุ้งมิ้ง
soft,จุ๋มจิ๋ม
soft,อ้วนจ้ำม่ำ
soft,ง่วงเหงา
soft,เซื่องซึม
soft,ขี้อ้อน
soft,น่ากอด
soft,กลมป้อม
soft,อุ้ยอ้าย
soft,ซุกซน
soft,ตุ๊กตา
soft,ขี้เล่น
soft,จิ๋วหลิว
soft,น่าหยิก
soft,นิ่มนวล
soft,อ้อนแอ้น
soft,ตุ้ยนุ้ย
soft,หน้าตาย
soft,ป้อแป้
soft,น่าเอ็นดู
soft,ขนนุ่ม
hard,โหดเหี้ยม
hard,เหี้ยมโหด
hard,ดุร้าย
hard,ทำลายล้าง
hard,โกรธจัด
hard,อสูรร้าย
hard,บ้าคลั่ง
hard,ไร้ปราณี
hard,เลือดเย็น
hard,อันตราย
hard,สยองขวัญ
hard,ร้ายกาจ
hard,แผดเผา
hard,วายร้าย
hard,ปีศาจ
hard,คลั่ง
hard,อำมหิต
hard,เถื่อนดิบ
hard,มหาภัย
hard,นรก
hard,ป่าเถื่อน
hard,มืดมน
hard,ชั่วร้าย
hard,หฤโหด
hard,ดิบเถื่อน
crown_upper,สง่างาม
crown_upper,ราชา
crown_upper,สูงศักดิ์
crown_upper,จักรพรรดิ
crown_upper,ทรงมงกุฎ
crown_upper,ครองบัลลังก์
crown_upper,รุ่งโรจน์
crown_upper,เกรียงไกร
crown_upper,ราชัน
crown_upper,พระเจ้า
regicide_upper,ปฏิวัติ
regicide_upper,ยึดบัลลังก์
regicide_upper,ล้มราชวงศ์
regicide_upper,แย่งมงกุฎ
regicide_upper,ก่อกบฏ
regicide_upper,ถอดถอนกษัตริย์
regicide_upper,ล้มล้าง
regicide_upper,รัฐประหาร
regicide_upper,หักด้ามคทา
regicide_upper,พลิกแผ่นดิน
bumps_upper,ชอบชน
bumps_upper,ถล่มทลาย
bumps_upper,พุ่งชน
bumps_upper,กระแทก
bumps_upper,ดุดัน
bumps_upper,ขวิด
bumps_upper,ตลุมบอน
bumps_upper,ดันสุดตัว
bumps_upper,ไถหน้า
bumps_upper,ถาโถม
kills_upper,ทำลายล้าง
kills_upper,ไร้ปราณี
kills_upper,มัจจุราช
kills_upper,พิฆาต
kills_upper,เจ้าสังเวียน
kills_upper,ครอบงำ
kills_upper,บดขยี้
kills_upper,จอมทัพ
kills_upper,สังหาร
kills_upper,ล้มทุกคน
kills_lower,สันติ
kills_lower,ใจดี
kills_lower,อ่อนโยน
kills_lower,ไม่เบียดเบียน
kills_lower,เมตตา
kills_lower,ไร้พิษภัย
kills_lower,สงบเสงี่ยม
kills_lower,สุภาพ
kills_lower,เชื่อง
kills_lower,นิ่งสงบ
deaths_upper,ซวย
deaths_upper,โชคร้าย
deaths_upper,ตายง่าย
deaths_upper,เปราะบาง
deaths_upper,ซุ่มซ่าม
deaths_upper,อาภัพ
deaths_upper,ตกอับ
deaths_upper,ฝันร้าย
deaths_upper,ขี้ลืม
deaths_upper,หมดดวง
deaths_lower,อมตะ
deaths_lower,ไม่มีวันตาย
deaths_lower,ทนทาน
deaths_lower,เหนียวแน่น
deaths_lower,กันกระสุน
deaths_lower,เพชรกลับ
deaths_lower,เหล็กไหล
deaths_lower,ไม่ยอมแพ้
deaths_lower,ชีวิตยืนยาว
deaths_lower,แกร่งกล้า
jumps_upper,กระโดดไม่หยุด
jumps_upper,เด้งดึ๋ง
jumps_upper,ลิงจ๋อ
jumps_upper,บินได้
jumps_upper,เหยียบเมฆ
jumps_upper,ซนสุดขีด
jumps_upper,ไม่อยู่นิ่ง
jumps_upper,กระเด้ง
jumps_upper,กบกระโดด
jumps_upper,บ๊องบ๊อง
jumps_lower,หนักแน่น
jumps_lower,อยู่กับที่
jumps_lower,ไม่ขยับ
jumps_lower,มั่นคง
jumps_lower,ฝังราก
jumps_lower,ติดดิน
jumps_lower,ภูเขาไฟ
jumps_lower,หนักอึ้ง
jumps_lower,สงบนิ่ง
jumps_lower,ดุจหิน
water_time_upper,จมน้ำ
water_time_upper,เปียกปอน
water_time_upper,สัตว์น้ำ
water_time_upper,ชุ่มฉ่ำ
water_time_upper,ดำน้ำ
water_time_upper,ผีน้ำ
water_time_upper,ตัวเปียก
water_time_upper,ชอบว่ายน้ำ
water_time_upper,จ้ำบ๊ะ
water_time_upper,เหมือนปลา
water_jump_upper,โลมา
water_jump_upper,กระเซ็น
water_jump_upper,สาดน้ำ
water_jump_upper,โต้คลื่น
water_jump_upper,ตีน้ำ
water_jump_upper,น้ำพุ
water_jump_upper,กระโจน
water_jump_upper,พุ่งขึ้นจากน้ำ
ice_time_upper,แข็งตัว
ice_time_upper,เหน็บหนาว
ice_time_upper,ลื่นไหล
ice_time_upper,น้ำแข็ง
ice_time_upper,ขั้วโลก
ice_time_upper,หนาวจัด
ice_time_upper,แช่แข็ง
ice_time_upper,หิมะท่วม
ice_time_upper,เกล็ดน้ำแข็ง
ice_time_upper,ธารน้ำแข็ง
springs_upper,ถูกยิง
springs_upper,หนังสติ๊ก
springs_upper,จรวด
springs_upper,เทอร์โบ
springs_upper,กระเด็น
springs_upper,พุ่งทะยาน
springs_upper,สปริง
springs_upper,เหาะ
springs_upper,ความเร็วเสียง
springs_upper,ดีดตัว
direction_changes_upper,ลังเล
direction_changes_upper,ตื่นตกใจ
direction_changes_upper,ขวัญหนี
direction_changes_upper,กระวนกระวาย
direction_changes_upper,ซิกแซก
direction_changes_upper,สับสน
direction_changes_upper,ลนลาน
direction_changes_upper,วิ่งวุ่น
direction_changes_upper,ตกอกตกใจ
direction_changes_upper,หัวหมุน
direction_changes_lower,มุ่งมั่น
direction_changes_lower,แน่วแน่
direction_changes_lower,ไม่หวั่นไหว
direction_changes_lower,ตรงแน่ว
direction_changes_lower,เด็ดเดี่ยว
direction_changes_lower,ใจเพชร
direction_changes_lower,หนักแน่น
direction_changes_lower,ไม่ย่อท้อ
direction_changes_lower,สายตาเดียว
direction_changes_lower,เหล็กกล้า
height_upper,เหนือเมฆ
height_upper,สูงเสียดฟ้า
height_upper,ทะยานขึ้น
height_upper,ลอยฟ้า
height_upper,ยอดเขา
height_upper,ระดับดาว
height_upper,ชั้นบรรยากาศ
height_upper,สูงลิบ
height_upper,เหาะเหิน
critter_disruptor_upper,ก่อกวน
critter_disruptor_upper,อันธพาล
critter_disruptor_upper,สร้างความวุ่นวาย
critter_disruptor_upper,ไล่ตะเพิด
critter_disruptor_upper,น่ากลัว
critter_disruptor_upper,ป่วนเมือง
critter_disruptor_upper,ทำลายล้าง
fly_proximity_upper,หึ่งหึ่ง
fly_proximity_upper,แมลงรุม
fly_proximity_upper,เพื่อนแมลงวัน
fly_proximity_upper,หวี่หวี่
fly_proximity_upper,ฝูงแมลง
fly_proximity_upper,ดึงดูดแมลง
fly_proximity_upper,ยุงตอม
poop_upper,ถ่ายคล่อง
poop_upper,มูลเยอะ
poop_upper,ปุ๋ยสด
poop_upper,ทิ้งร่องรอย
poop_upper,ลูกกลม
poop_upper,ท้องไส้ดี
poop_upper,ขี้เรี่ยราด
poop_upper,จอมถ่าย
poop_upper,ปล่อยไป
