category,adjective
soft,软萌
soft,毛茸茸
soft,圆滚滚
soft,肉嘟嘟
soft,懒洋洋
soft,呆萌
soft,黏人
soft,蓬松
soft,乖巧
soft,迷糊
soft,胖乎乎
soft,小巧
soft,慵懒
soft,温顺
soft,可爱
hard,凶猛
hard,霸气
hard,狂暴
hard,无敌
hard,嗜血
hard,残暴
hard,狠厉
hard,恐怖
hard,狂野
hard,暴躁
hard,致命
hard,猛烈
hard,疯狂
hard,邪恶
hard,毁灭
crown_upper,威严
crown_upper,至尊
crown_upper,皇族
crown_upper,帝王
crown_upper,尊贵
crown_upper,加冕
crown_upper,龙袍加身
crown_upper,君临天下
regicide_upper,弑君
regicide_upper,篡位
regicide_upper,夺权
regicide_upper,推翻王座
regicide_upper,叛逆
regicide_upper,造反
regicide_upper,颠覆皇权
bumps_upper,好斗
bumps_upper,莽撞
bumps_upper,横冲直撞
bumps_upper,推推搡搡
bumps_upper,好战
bumps_upper,猛冲
bumps_upper,碰碰车
kills_upper,杀神
kills_upper,无情
kills_upper,碾压
kills_upper,屠戮
kills_upper,所向披靡
kills_upper,灭霸
kills_lower,和平
kills_lower,善良
kills_lower,温柔
kills_lower,佛系
kills_lower,慈悲
kills_lower,无害
deaths_upper,倒霉蛋
deaths_upper,脆皮
deaths_upper,悲催
deaths_upper,厄运缠身
deaths_upper,命途多舛
deaths_upper,屡战屡败
deaths_lower,金刚不坏
deaths_lower,不死鸟
deaths_lower,铁甲
deaths_lower,刀枪不入
deaths_lower,永生
deaths_lower,打不死
jumps_upper,多动症
jumps_upper,蹦蹦跳跳
jumps_upper,弹簧腿
jumps_upper,停不下来
jumps_upper,兴奋过度
jumps_upper,上蹿下跳
jumps_lower,稳如泰山
jumps_lower,脚踏实地
jumps_lower,扎根
jumps_lower,纹丝不动
jumps_lower,沉稳
jumps_lower,镇定
water_time_upper,水中蛟龙
water_time_upper,浪里白条
water_time_upper,浑身湿透
water_time_upper,泡水
water_time_upper,水性杨花
water_time_upper,潜水达人
water_jump_upper,鲤鱼跳龙门
water_jump_upper,浪花飞溅
water_jump_upper,破浪
water_jump_upper,水上飞
water_jump_upper,弄潮儿
ice_time_upper,冰封
ice_time_upper,冻僵
ice_time_upper,寒冰
ice_time_upper,溜冰高手
ice_time_upper,冰雪奇缘
ice_time_upper,极寒
springs_upper,弹射起步
springs_upper,火箭升空
springs_upper,加速
springs_upper,超音速
springs_upper,蹦床达人
springs_upper,弹飞
direction_changes_upper,犹豫不决
direction_changes_upper,左右为难
direction_changes_upper,慌张
direction_changes_upper,东奔西跑
direction_changes_upper,手忙脚乱
direction_changes_upper,魂不守舍
direction_changes_lower,勇往直前
direction_changes_lower,坚定不移
direction_changes_lower,一往无前
direction_changes_lower,义无反顾
direction_changes_lower,目标明确
direction_changes_lower,心无旁骛
height_upper,翱翔天际
height_upper,高处不胜寒
height_upper,登峰造极
height_upper,一飞冲天
height_upper,凌云壮志
critter_disruptor_upper,害虫克星
critter_disruptor_upper,大闹天宫
critter_disruptor_upper,搅局
critter_disruptor_upper,捣蛋鬼
critter_disruptor_upper,破坏王
fly_proximity_upper,招蝇
fly_proximity_upper,嗡嗡叫
fly_proximity_upper,蚊虫环绕
fly_proximity_upper,苍蝇伴侣
fly_proximity_upper,虫虫围绕
poop_upper,制粪高手
poop_upper,到处拉
poop_upper,粪球工厂
poop_upper,施肥
poop_upper,遍地开花
