category,adjective
soft,뽀송뽀송
soft,복실복실
soft,통통
soft,몽실몽실
soft,느긋느긋
soft,쪼꼬미
soft,동글동글
soft,나른나른
soft,포동포동
soft,보들보들
soft,말랑말랑
soft,뭉글뭉글
soft,졸린
soft,폭신폭신
soft,꼬물꼬물
soft,살랑살랑
soft,뒤뚱뒤뚱
soft,귀여운
soft,앙증맞은
soft,소복소복
soft,토실토실
soft,멍때리는
soft,엉금엉금
soft,눌러붙은
soft,솜사탕같은
hard,무자비
hard,흉포
hard,광폭
hard,잔혹
hard,파괴적
hard,악랄
hard,살벌
hard,극악
hard,무시무시
hard,폭주하는
hard,미치광이
hard,지옥의
hard,암흑
hard,무적
hard,광란
hard,혈전
hard,포악
hard,난폭
hard,최흉
hard,악몽같은
hard,불꽃
hard,천벌
hard,파멸
hard,공포의
hard,야수
crown_upper,위엄찬
crown_upper,왕자다운
crown_upper,고귀한
crown_upper,지존
crown_upper,황제급
crown_upper,왕관쓴
crown_upper,군림하는
crown_upper,영광의
crown_upper,존엄한
crown_upper,왕좌의
regicide_upper,왕권찬탈
regicide_upper,왕좌뒤엎는
regicide_upper,반역의
regicide_upper,혁명적
regicide_upper,하극상
regicide_upper,왕관빼앗는
regicide_upper,쿠데타
regicide_upper,폐위하는
regicide_upper,전복시키는
regicide_upper,왕조끝내는
bumps_upper,돌진하는
bumps_upper,밀치기왕
bumps_upper,돌격
bumps_upper,저돌적
bumps_upper,몸통박치기
bumps_upper,쿵쿵대는
bumps_upper,부딪히는
bumps_upper,돌격대장
bumps_upper,들이박는
bumps_upper,개돌
kills_upper,학살자
kills_upper,필살
kills_upper,무쌍
kills_upper,정복자
kills_upper,압도적
kills_upper,제압하는
kills_upper,섬멸
kills_upper,무적
kills_upper,절대강자
kills_upper,천하제일
kills_lower,평화주의
kills_lower,온화한
kills_lower,착한
kills_lower,무해한
kills_lower,자비로운
kills_lower,다정한
kills_lower,얌전한
kills_lower,순한
kills_lower,조용한
kills_lower,태평한
deaths_upper,사고뭉치
deaths_upper,불운한
deaths_upper,허당
deaths_upper,재수없는
deaths_upper,덜렁이
deaths_upper,쉽게죽는
deaths_upper,약골
deaths_upper,찌그러지는
deaths_upper,우당탕
deaths_upper,유리멘탈
deaths_lower,불사신
deaths_lower,무적
deaths_lower,철벽
deaths_lower,근성맨
deaths_lower,좀비급
deaths_lower,불멸
deaths_lower,강철
deaths_lower,질긴
deaths_lower,안죽는
deaths_lower,영생
jumps_upper,깡충깡충
jumps_upper,방방뛰는
jumps_upper,점프광
jumps_upper,날아오르는
jumps_upper,뽕뽕
jumps_upper,안착지않는
jumps_upper,에너자이저
jumps_upper,하늘찌르는
jumps_upper,띵동뛰는
jumps_upper,산만한
jumps_lower,묵직한
jumps_lower,꿈쩍않는
jumps_lower,땅바닥의
jumps_lower,뿌리내린
jumps_lower,무게감있는
jumps_lower,안정적
jumps_lower,고정된
jumps_lower,바위같은
jumps_lower,움직이기싫은
jumps_lower,중후한
water_time_upper,물에빠진
water_time_upper,흠뻑젖은
water_time_upper,수중
water_time_upper,반어인
water_time_upper,잠수
water_time_upper,물귀신
water_time_upper,촉촉한
water_time_upper,물놀이왕
water_time_upper,첨벙첨벙
water_time_upper,물속의
water_jump_upper,돌고래같은
water_jump_upper,잉어뛰기
water_jump_upper,물보라
water_jump_upper,파도타기
water_jump_upper,퐁퐁
water_jump_upper,철퍽철퍽
water_jump_upper,분수같은
water_jump_upper,서핑하는
ice_time_upper,꽁꽁언
ice_time_upper,얼어붙은
ice_time_upper,미끄덩
ice_time_upper,서리투성이
ice_time_upper,눈범벅
ice_time_upper,냉동
ice_time_upper,빙하급
ice_time_upper,겨울왕
ice_time_upper,쏴르르
ice_time_upper,극지방
springs_upper,발사대
springs_upper,탄알같은
springs_upper,슈웅
springs_upper,로켓급
springs_upper,터보
springs_upper,탕탕
springs_upper,튕겨나가는
springs_upper,트램폴린왕
springs_upper,초고속
springs_upper,뿅
direction_changes_upper,우왕좌왕
direction_changes_upper,안절부절
direction_changes_upper,갈팡질팡
direction_changes_upper,허둥지둥
direction_changes_upper,두리번
direction_changes_upper,지그재그
direction_changes_upper,산만한
direction_changes_upper,오락가락
direction_changes_upper,패닉
direction_changes_upper,쩔쩔매는
direction_changes_lower,직진
direction_changes_lower,흔들리지않는
direction_changes_lower,결단력있는
direction_changes_lower,돌진하는
direction_changes_lower,일편단심
direction_changes_lower,불굴의
direction_changes_lower,확고한
direction_changes_lower,초지일관
direction_changes_lower,뚝심있는
direction_changes_lower,강철의지
height_upper,하늘위의
height_upper,구름타는
height_upper,비상하는
height_upper,높이나는
height_upper,정상의
height_upper,치솟는
height_upper,성층권
height_upper,꼭대기
height_upper,우주급
critter_disruptor_upper,난동부리는
critter_disruptor_upper,소동왕
critter_disruptor_upper,겁주는
critter_disruptor_upper,박멸왕
critter_disruptor_upper,쫓아다니는
critter_disruptor_upper,괴롭히는
critter_disruptor_upper,난장판
fly_proximity_upper,윙윙
fly_proximity_upper,벌레투성이
fly_proximity_upper,파리대장
fly_proximity_upper,벌레친구
fly_proximity_upper,부웅부웅
fly_proximity_upper,모기떼
fly_proximity_upper,날벌레왕
poop_upper,응가왕
poop_upper,토독토독
poop_upper,비료제조
poop_upper,콩콩떨구는
poop_upper,쾌변
poop_upper,뿌지직
poop_upper,흔적남기는
poop_upper,장건강왕
poop_upper,똥냥이
